team,matches,wins,losses,win_rate
100 Thieves,1,1,0,1.0
AB3 Esports,1,1,0,1.0
DNSTY,3,3,0,1.0
9z Team,1,1,0,1.0
AlQadsiah Esports,2,2,0,1.0
Akave Esports GC,3,3,0,1.0
Beşiktaş Esports,3,3,0,1.0
CGN Esports,3,3,0,1.0
CREST GAMING Zst,2,2,0,1.0
BAAM Esports,1,1,0,1.0
FNATIC,2,2,0,1.0
FUT Esports,2,2,0,1.0
FURIA,1,1,0,1.0
FULL SENSE,2,2,0,1.0
Eintracht Frankfurt,3,3,0,1.0
Enterprise Esports,2,2,0,1.0
EDward Gaming,4,4,0,1.0
Team Falcons Vega,2,2,0,1.0
REBORN,3,3,0,1.0
LEVIATÁN,1,1,0,1.0
LYON,2,2,0,1.0
LOUD,1,1,0,1.0
Melser Kindergarten,2,2,0,1.0
MIBR,1,1,0,1.0
ONSIDE GAMING,3,3,0,1.0
M80,2,2,0,1.0
Holy,2,2,0,1.0
Kiwoom DRX,2,2,0,1.0
KRÜ Esports,1,1,0,1.0
KRÜ SPARK,1,1,0,1.0
KSU Gold,1,1,0,1.0
Global Esports,2,2,0,1.0
Gamax Esports,2,2,0,1.0
FlyQuest,2,2,0,1.0
WIP Esports,4,4,0,1.0
Xi Lai Gaming,4,4,0,1.0
T1,2,2,0,1.0
SaD Esports,2,2,0,1.0
Stallions Lyra,2,2,0,1.0
Rex Regum Qeon,2,2,0,1.0
S8UL Esports,5,5,0,1.0
Stallions Esports,2,2,0,1.0
Team Solid,2,2,0,1.0
Team Liquid Brazil,5,5,0,1.0
YFP,2,2,0,1.0
Tezcat Gaming,1,1,0,1.0
Team Liquid,2,2,0,1.0
Revenant XSpark,5,4,1,0.8
KRÜ BLAZE,4,3,1,0.75
Falke Esports,4,3,1,0.75
F9 EICAR,4,3,1,0.75
Misa Esports,4,3,1,0.75
F4TALITY,3,2,1,0.667
2Game Esports,3,2,1,0.667
FENNEL,6,4,2,0.667
Evil Geniuses Academy,3,2,1,0.667
FOKUS,3,2,1,0.667
Barça eSports,3,2,1,0.667
Motiv Esports,3,2,1,0.667
Olimpo Gold,3,2,1,0.667
Leosun Esports,3,2,1,0.667
Otakar Esports,3,2,1,0.667
MIBR GC,6,4,2,0.667
Gen.G Global Academy,3,2,1,0.667
Insomnia,6,4,2,0.667
Galatasaray Esports,3,2,1,0.667
QoR,3,2,1,0.667
RIZON,3,2,1,0.667
T1 Academy,3,2,1,0.667
Dragon Ranger Gaming,5,3,2,0.6
TYLOO,5,3,2,0.6
JD Mall JDG Esports(JDG Esports),5,3,2,0.6
Mandatory,7,4,3,0.571
Contra,2,1,1,0.5
TRENTITAS,2,1,1,0.5
Shopify Rebellion Black,2,1,1,0.5
Sharper Esports,2,1,1,0.5
Paysandu Esports,6,3,3,0.5
PÃO COM RATO,4,2,2,0.5
REJECT,4,2,2,0.5
BBL Esports,2,1,1,0.5
QT DIG∞,2,1,1,0.5
Natus Vincere,2,1,1,0.5
Nightblood Gaming,2,1,1,0.5
Gentle Mates,2,1,1,0.5
GnG Esports,2,1,1,0.5
IVY,2,1,1,0.5
Gênias do Bem,2,1,1,0.5
No Sweat Blossom,4,2,2,0.5
Matilda GC,2,1,1,0.5
Paper Rex,2,1,1,0.5
malvadinhas 3.0,2,1,1,0.5
Team Vitality,2,1,1,0.5
KPI Gaming,4,2,2,0.5
Guangzhou Huadu Bilibili Gaming(Bilibili Gaming),4,2,2,0.5
Eternal Fire,2,1,1,0.5
Esprit Shōnen,4,2,2,0.5
FUT Esports Academy,2,1,1,0.5
36 Thieves,2,1,1,0.5
555,2,1,1,0.5
All Gamers,4,2,2,0.5
Asterisk,4,2,2,0.5
Caldya Esport,4,2,2,0.5
Azure Dragon Gaming,2,1,1,0.5
GIANTX,2,1,1,0.5
FunPlus Phoenix,4,2,2,0.5
Gen.G,2,1,1,0.5
Trace Esports,5,2,3,0.4
REIGNITE FOXX,5,2,3,0.4
RIDDLE ORDER,5,2,3,0.4
Team Gaseous,3,1,2,0.333
Ramboot Club,3,1,2,0.333
Pigeons,3,1,2,0.333
ROSE,3,1,2,0.333
Looking For Laburo,3,1,2,0.333
Murash Gaming,3,1,2,0.333
HGE Esport,3,1,2,0.333
MYVRA GC,3,1,2,0.333
AGELITE,3,1,2,0.333
Evictix,3,1,2,0.333
Alliance Guardians,3,1,2,0.333
ALTERNATE aTTaX,3,1,2,0.333
Fire Flux Esports,3,1,2,0.333
Division One,3,1,2,0.333
Dplus Esports,3,1,2,0.333
Eternal Fire Passion,3,1,2,0.333
Dortmund eSports,3,1,2,0.333
oi posso fala,3,1,2,0.333
xCrew,3,1,2,0.333
Remo Esports,6,2,4,0.333
Wuxi Titan Esports Club(Titan Esports Club),4,1,3,0.25
Joblife,4,1,3,0.25
Nuxeria Esport,4,1,3,0.25
Gods Reign,4,1,3,0.25
Galions,4,1,3,0.25
UCAM Esports Club,5,1,4,0.2
Evil Geniuses GC,1,0,1,0.0
FUEGO,1,0,1,0.0
Fancy United Esports,1,0,1,0.0
FUSION X,2,0,2,0.0
Bushido Wildcats,3,0,3,0.0
Chivas Esports,1,0,1,0.0
Cloud9,1,0,1,0.0
Converse University,1,0,1,0.0
DOT EXE,3,0,3,0.0
DRX Academy,2,0,2,0.0
Azure GC,2,0,2,0.0
Axe,1,0,1,0.0
AKA HERO,3,0,3,0.0
ARETE,2,0,2,0.0
ELEVATE,2,0,2,0.0
Dark Passage,1,0,1,0.0
ENVY,1,0,1,0.0
Evil Geniuses,1,0,1,0.0
DetonatioN FocusMe,2,0,2,0.0
Beta Division GC,1,0,1,0.0
G2 Esports,1,0,1,0.0
GHOSTS,3,0,3,0.0
Ghools Esports,1,0,1,0.0
Forged to Shine GC,2,0,2,0.0
Karmine Corp,2,0,2,0.0
LAZER,1,0,1,0.0
OXEN,1,0,1,0.0
Nova Esports,4,0,4,0.0
Nongshim RedForce,2,0,2,0.0
NRG,1,0,1,0.0
NRG Academy,3,0,3,0.0
NOVO Esports,2,0,2,0.0
MAYHEM,1,0,1,0.0
Melilla Titans,2,0,2,0.0
Lost Puppies Quackers,2,0,2,0.0
LEVIATÁN Academy,1,0,1,0.0
Sentinels,1,0,1,0.0
Shopify Rebellion Gold,2,0,2,0.0
STREAMER ARENA,1,0,1,0.0
PCIFIC Esports,2,0,2,0.0
Polar Squad Esports GC,2,0,2,0.0
ShindeN,1,0,1,0.0
TBK Esports,1,0,1,0.0
The Rad Syndicate,3,0,3,0.0
Team Secret,2,0,2,0.0
Team SCARS,1,0,1,0.0
Team Heretics,2,0,2,0.0
Team HAQ,2,0,2,0.0
Team RA'AD,1,0,1,0.0
Team Spire,1,0,1,0.0
Wolves Esports,4,0,4,0.0
WEC C,2,0,2,0.0
VillianArc,1,0,1,0.0
Vibranium Esports,1,0,1,0.0
University War,1,0,1,0.0
VARREL,2,0,2,0.0
ZETA DIVISION,2,0,2,0.0
eSports Cologne,3,0,3,0.0
